Modality,Item,More Information,Count ,Cost per Unit $ ,Total Cost $,Checked,mouser.com,amazon.com
,Arcade buttons wire,"20 pcs; JST XH2.45 Male to 0.110 in
for arcade buttons",1,9.99,9.99,TRUE,,https://www.amazon.com/Guwarry-Encoder-Terminals-Compatible-Seimitsu/dp/B07RRSG321/ref=sr_1_13?sr=8-13
,Speakers Connectors to Adafruit,"JST & DUPONT kit
for custom connectors
e.g. speaker terminals to voice bonnet",1,33.99,33.99,TRUE,,"https://www.amazon.com/Crimping-2-54mm-JST-XH-Connectors-Connector/dp/B09DFM29FV/ref=sr_1_4?s=books&sr=1-4
"
,Desoldering Wick,three sizes...,1,4.99,4.99,TRUE,,https://www.amazon.com/JoTownCand-Premium-Desoldering-Residue-Solder/dp/B0DRN688Q5/ref=sr_1_1_sspa?sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
,Soldering kit,"Full solder station kit, tools, parts",1,42.99,42.99,TRUE,,https://www.amazon.com/YIHUA-Soldering-194%C2%BAF-896%C2%BAF-Adjustable-Calibration/dp/B082F1RKTM/ref=sr_1_1?s=books&sr=1-1
,Filament Dryer,"maintain print quality, filament condition",1,79,79,TRUE,,http://amazon.com/Official-CREALITY-Filament-Heating-Dehydrator/dp/B0D22D1L46/ref=sr_1_2?sr=8-2
,3D printer,Bambu Lab A1 Mini,1,199,199,TRUE,,https://www.amazon.com/Multi-Color-Precision-Full-Auto-Calibration-Compensation/dp/B0CRYJBKQQ?ref_=ast_sto_dp
,TPU White,0.75kg,1,26.99,26.99,TRUE,,https://www.amazon.com/Polymaker-Filament-Flexible-1-75mm-Cardboard/dp/B09KLRH3V9/ref=sr_1_3?crid=3EPY17LYCNU28&dib=eyJ2IjoiMSJ9.kJ9Hbckw-ESHPFvAQqjz4XKa24g2Gve2q6kpAcpxq2Dm7JPCX4zlfPm0HY5xDyI5snrK8oVBQgwWMDWPS6VPKfYP48USrt3491FifbGtkyO0zKnUtbAbtNpWA0cx3QdxRRudENUU9XFLC0a-YGayYSuvTTsywhJDFudNE3LfuhGUBGcdK1JLDsoY_tFwg4z1UArZed_zQJ-Eilb2fFDbOwUYLhv5gB_c8l7T9vcRpIM._xusSSaqqQMGJ827HPsG6HLre3etPQjQuPLinB_4_tA&dib_tag=se&keywords=white%2Bpolyflex&qid=1761688477&sprefix=white%2Bpolyflex%2Caps%2C217&sr=8-3&th=1
,PETG blue,"1kg; by creality ""digital blue""",1,17.99,17.99,TRUE,,https://www.amazon.com/Official-Creality-Precision-Toughness-Moistureproof/dp/B0D4Q1221L/ref=sr_1_3?s=industrial&sr=1-3
,PETG White,1kg; by creality,1,15.99,15.99,TRUE,,https://www.amazon.com/Official-Creality-Precision-Toughness-Moistureproof/dp/B0C8NLPTQW/ref=sr_1_3?s=industrial&sr=1-3
,PLA yellow,1kg; lemon yellow; polymaker,1,20.69,20.69,TRUE,,https://www.amazon.com/Polymaker-Filament-1-75mm-Azure-Printer/dp/B0B2NYXXHJ/ref=sr_1_3?th=1
,,,,,,,,
,,,,,1399.83,,,
,,,,,SUM TOTAL,,,
